zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000005999104	18885026	COc1cc(C[C@@H](O)C(=O)[O-])ccc1O	-1	-0.36	-50.55	0	-0.9459	211.193	5	2	0	1	15	4	[(6, 'R')]	0	Anodyne	89	BCAARM	BC	hmdbendo
ZINC000000895494	13812968	C[N+](C)(C)[O-]	0	3.08	-14.53	0	0.1904	75.111	1	0	0	0	5	0	[]	5	Bother	23	ACBARN	AC	hmdbendo
ZINC000005711481	15430506	CCCCC(=O)NCC(=O)[O-]	-1	1.5	-43.57	0	-0.9573	158.177	3	1	0	0	11	5	[]	0	Anodyne	69	ACAARM	AC	hmdbendo
ZINC000016051516	15448508	O=C([O-])/C=C/c1ccccc1	-1	5.13	-51.79	0	0.4497	147.153	2	0	0	1	11	2	[]	0	Anodyne	40	ADAARM	AD	hmdbendo
ZINC000001586420	17275283	O=C([O-])/C=C/CCCCCCCCC(=O)[O-]	-2	7.23	-102.42	0	0.1632	226.272	4	0	0	0	16	10	[]	0	Anodyne	80	BFABRL	BF	hmdbendo
ZINC000008215691	42756745	O=C([O-])[C@H]1O[C@H](O[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	-3	-12.53	-203.99	0	-7.30009999999999	577.261	19	6	2	1	37	9	[(3, 'S'), (5, 'R'), (7, 'S'), (11, 'R'), (16, 'R'), (18, 'R'), (27, 'R'), (29, 'S'), (31, 'R'), (33, 'S'), (35, 'S')]	0	Anodyne	322	KAAARL	KA	hmdbendo
ZINC000004228232	82634894	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O	0	0.06	-55.72	0	-3.4886	384.418	11	4	1	2	26	7	[(10, 'R'), (12, 'S'), (17, 'S'), (22, 'S'), (24, 'R')]	0	Anodyne	187	GAAARN	GA	hmdbendo
ZINC000100054128	17319551	O=C1OC[C@H](O)[C@H]1O	0	-4.1	-13.73	0	-1.735	118.088	4	2	1	0	8	0	[(4, 'S'), (6, 'R')]	0	Anodyne	66	AAAARN	AA	hmdbendo
ZINC000013513938	66796933	Nc1nc2c(c(=O)[n-]1)N[C@@H]([C@H](O)[C@@H](O)CO)CN2	-1	-7.35	-43.8	3	-3.0987	256.242	8	6	1	1	18	3	[(9, 'R'), (10, 'S'), (12, 'S')]	0	Anodyne	154	CAABHM	CA	hmdbendo
ZINC000013513938	66796928	Nc1nc2c(c(=O)[nH]1)N[C@@H]([C@H](O)[C@@H](O)CO)CN2	0	-6.18	-13.02	1	-2.7278	257.25	8	7	1	1	18	3	[(9, 'R'), (10, 'S'), (12, 'S')]	0	Anodyne	156	CAABMN	CA	hmdbendo
