zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000005058067	82790050	Cc1oc(-c2ccc(C)cc2)nc1C[S@@](=O)CC(=O)NCC[NH+]1CCCC1	1	5.49	-62.34	1	1.00204	390.529	4	2	1	2	27	8	[(14, 'S')]	0	Anodyne	76	GEAAMO	GE	aggregators
ZINC000005058067	82790046	Cc1oc(-c2ccc(C)cc2)nc1C[S@@](=O)CC(=O)NCCN1CCCC1	0	3.06	-29.39	0	2.41914	389.521	5	1	1	2	27	8	[(14, 'S')]	0	Anodyne	75	GEAARN	GE	aggregators
ZINC000005058068	82789838	Cc1oc(-c2ccc(C)cc2)nc1C[S@](=O)CC(=O)NCC[NH+]1CCCC1	1	5.55	-53.53	1	1.00204	390.529	4	2	1	2	27	8	[(14, 'R')]	0	Anodyne	76	GEAAMO	GE	aggregators
ZINC000005058068	82789835	Cc1oc(-c2ccc(C)cc2)nc1C[S@](=O)CC(=O)NCCN1CCCC1	0	3.12	-20.77	0	2.41914	389.521	5	1	1	2	27	8	[(14, 'R')]	0	Anodyne	75	GEAARN	GE	aggregators
ZINC000004148112	76197116	Cn1c(Cn2c3ccccc3sc2=O)nnc1SCC(=O)N1CCOCC1	0	7.73	-13.76	0	1.1907	405.505	9	0	1	3	27	5	[]	0	Anodyne	82	HDAARN	HD	aggregators
ZINC000006577722	83019833	Cc1oc(-c2ccc(C)cc2)nc1C[S@@](=O)CC(=O)NCCC[NH+]1C[C@@H](C)C[C@H](C)C1	1	8.18	-63.39	0	2.27424	446.637	4	2	1	2	31	9	[(14, 'S'), (25, 'S'), (28, 'S')]	0	Anodyne	76	IHAARO	IH	aggregators
ZINC000008671776	83105466	Cc1oc(-c2ccc(C)cc2)nc1C[S@](=O)CC(=O)NCCC[N@@H+]1C[C@H](C)C[C@H](C)C1	1	8.24	-55.38	1	2.27424	446.637	4	2	1	2	31	9	[(14, 'R'), (23, 'S'), (25, 'R'), (28, 'S')]	0	Anodyne	76	IHAAMO	IH	aggregators
ZINC000008671776	83105461	Cc1oc(-c2ccc(C)cc2)nc1C[S@](=O)CC(=O)NCCC[N@H+]1C[C@H](C)C[C@H](C)C1	1	8.14	-54.45	0	2.27424	446.637	4	2	1	2	31	9	[(14, 'R'), (23, 'R'), (25, 'R'), (28, 'S')]	0	Anodyne	76	IHAARO	IH	aggregators
ZINC000008676643	83106456	Cc1oc(-c2ccc(C)cc2)nc1C[S@@](=O)CC(=O)NCCC[N@@H+]1C[C@H](C)C[C@H](C)C1	1	8.18	-64.32	1	2.27424	446.637	4	2	1	2	31	9	[(14, 'S'), (23, 'S'), (25, 'R'), (28, 'S')]	0	Anodyne	76	IHAAMO	IH	aggregators
ZINC000008676643	83106450	Cc1oc(-c2ccc(C)cc2)nc1C[S@@](=O)CC(=O)NCCC[N@H+]1C[C@H](C)C[C@H](C)C1	1	8.08	-63.43	0	2.27424	446.637	4	2	1	2	31	9	[(14, 'S'), (23, 'R'), (25, 'R'), (28, 'S')]	0	Anodyne	76	IHAARO	IH	aggregators
ZINC000005058117	78223471	Cc1oc(-c2ccc(Cl)cc2)nc1C[S@@](=O)CC(=O)NCC[NH+]1CCCC1	1	5.34	-61.11	1	1.34702	410.947	4	2	1	2	27	8	[(14, 'S')]	0	Anodyne	76	HFAAMO	HF	aggregators
ZINC000005058117	78223466	Cc1oc(-c2ccc(Cl)cc2)nc1C[S@@](=O)CC(=O)NCCN1CCCC1	0	2.91	-27.64	0	2.76412	409.939	5	1	1	2	27	8	[(14, 'S')]	0	Anodyne	75	HFAARN	HF	aggregators
ZINC000005058118	78223661	Cc1oc(-c2ccc(Cl)cc2)nc1C[S@](=O)CC(=O)NCC[NH+]1CCCC1	1	5.4	-52.8	1	1.34702	410.947	4	2	1	2	27	8	[(14, 'R')]	0	Anodyne	76	HFAAMO	HF	aggregators
ZINC000005058118	78223657	Cc1oc(-c2ccc(Cl)cc2)nc1C[S@](=O)CC(=O)NCCN1CCCC1	0	2.97	-19.63	0	2.76412	409.939	5	1	1	2	27	8	[(14, 'R')]	0	Anodyne	75	HFAARN	HF	aggregators
ZINC000005058129	82789700	Cc1oc(-c2ccccc2C)nc1C[S@@](=O)CC(=O)NCc1ccccc1	0	5.82	-28.86	0	3.52354	382.485	4	1	0	3	27	7	[(14, 'S')]	0	Anodyne	72	GHAARN	GH	aggregators
ZINC000005058130	82790117	Cc1oc(-c2ccccc2C)nc1C[S@](=O)CC(=O)NCc1ccccc1	0	6.21	-19.75	0	3.52354	382.485	4	1	0	3	27	7	[(14, 'R')]	0	Anodyne	72	GHAARN	GH	aggregators
ZINC000005058131	63216115	CC[C@@H](C)NC(=O)C[S@@](=O)Cc1nc(-c2ccccc2C)oc1C	0	4.51	-29.32	0	3.12184	348.468	4	1	0	2	24	7	[(2, 'R'), (8, 'R')]	0	Anodyne	72	EGAARN	EG	aggregators
ZINC000005058132	63216718	CC[C@H](C)NC(=O)C[S@@](=O)Cc1nc(-c2ccccc2C)oc1C	0	4.51	-29.29	0	3.12184	348.468	4	1	0	2	24	7	[(2, 'S'), (8, 'R')]	0	Anodyne	72	EGAARN	EG	aggregators
ZINC000005058133	63216619	CC[C@@H](C)NC(=O)C[S@](=O)Cc1nc(-c2ccccc2C)oc1C	0	4.52	-20.14	0	3.12184	348.468	4	1	0	2	24	7	[(2, 'R'), (8, 'S')]	0	Anodyne	72	EGAARN	EG	aggregators
ZINC000005058134	63216544	CC[C@H](C)NC(=O)C[S@](=O)Cc1nc(-c2ccccc2C)oc1C	0	4.52	-20.14	0	3.12184	348.468	4	1	0	2	24	7	[(2, 'S'), (8, 'S')]	0	Anodyne	72	EGAARN	EG	aggregators
ZINC000006578145	83019480	Cn1c(Cn2c3ccccc3sc2=O)nnc1SCC(=O)N1CCc2ccccc21	0	11.86	-13.28	0	2.9212	437.55	8	0	1	4	30	5	[]	0	Anodyne	73	IFAARN	IF	aggregators
ZINC000004906607	31600217	O=C(Cn1c(=O)n(Cc2ccco2)c(=O)c2ccccc21)Nc1cccc(Cl)c1	0	8.62	-12.41	0	3.0966	409.829	6	1	0	4	29	5	[]	0	Anodyne	86	HGAARN	HG	aggregators
ZINC000005069634	82793885	CC1CC[NH+](Cc2ccc(NC(=O)C[C@H]3Oc4ccccc4NC3=O)cc2)CC1	1	9.48	-44.11	0	2.2297	394.495	3	3	2	2	29	5	[(14, 'R')]	0	Anodyne	71	GHAARO	GH	aggregators
ZINC000005069636	82793970	CC1CC[NH+](Cc2ccc(NC(=O)C[C@@H]3Oc4ccccc4NC3=O)cc2)CC1	1	9.49	-44.09	0	2.2297	394.495	3	3	2	2	29	5	[(14, 'S')]	0	Anodyne	71	GHAARO	GH	aggregators
ZINC000002467866	31584778	COc1cc2c(cc1OC)n(CC(=O)Nc1ccc(F)cc1F)c(=O)n(C[C@H]1CCCO1)c2=O	0	6.5	-10.26	0	2.2763	475.448	8	1	1	3	34	7	[(27, 'R')]	0	Anodyne	100	JEAFRN	JE	aggregators
ZINC000002467868	31585108	COc1cc2c(cc1OC)n(CC(=O)Nc1ccc(F)cc1F)c(=O)n(C[C@@H]1CCCO1)c2=O	0	7.19	-8.65	0	2.2763	475.448	8	1	1	3	34	7	[(27, 'S')]	0	Anodyne	100	JEAFRN	JE	aggregators
ZINC000005069654	66134072	O=C(C[C@@H]1Oc2ccccc2NC1=O)N1CCCC1	0	4.76	-12.19	0	1.3986	260.293	3	1	2	1	19	2	[(3, 'S')]	0	Anodyne	58	CDAARN	CD	aggregators
ZINC000005069657	66133973	O=C(C[C@H]1Oc2ccccc2NC1=O)N1CCCC1	0	4.75	-12.17	0	1.3986	260.293	3	1	2	1	19	2	[(3, 'R')]	0	Anodyne	58	CDAARN	CD	aggregators
ZINC000004908536	31613029	COc1cccc(-c2cc(N)nn2C(=O)Nc2ccc(Cl)cc2)c1	0	7.02	-9.85	0	3.8745	342.786	5	2	0	3	24	3	[]	0	Anodyne	82	EHAFRN	EH	aggregators
ZINC000004908553	31612996	COc1cccc(NC(=O)n2nc(N)cc2-c2ccc(Cl)cc2)c1	0	6.86	-9.46	0	3.8745	342.786	5	2	0	3	24	3	[]	0	Anodyne	82	EHAFRN	EH	aggregators
ZINC000005069666	66133388	O=C(C[C@@H]1Oc2ccccc2NC1=O)N1CCOCC1	0	3.07	-12.22	0	0.635	276.292	4	1	2	1	20	2	[(3, 'S')]	0	Anodyne	67	CCAARN	CC	aggregators
ZINC000005069670	66134327	O=C(C[C@H]1Oc2ccccc2NC1=O)N1CCOCC1	0	3.06	-12.22	0	0.635	276.292	4	1	2	1	20	2	[(3, 'R')]	0	Anodyne	67	CCAARN	CC	aggregators
ZINC000004791735	78131890	COc1ccccc1NC(=O)NCCCN1CCN(c2cccc(Cl)c2)CC1	0	5.26	-10.98	1	3.6824	402.926	4	2	1	2	28	7	[]	0	Anodyne	56	HHAAMN	HH	aggregators
ZINC000004791735	78131888	COc1ccccc1NC(=O)NCCC[NH+]1CCN(c2cccc(Cl)c2)CC1	1	7.67	-50.72	0	2.2653	403.934	3	3	1	2	28	7	[]	0	Anodyne	58	HHAARO	HH	aggregators
ZINC000004911304	59675207	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)NCc1cccnc1)O2	0	4.25	-12.51	0	1.79602	311.341	4	2	1	2	23	4	[(10, 'S')]	0	Anodyne	80	DDAARN	DD	aggregators
ZINC000004911311	59675307	Cc1ccc2c(c1)NC(=O)[C@@H](CC(=O)NCc1cccnc1)O2	0	4.24	-12.26	0	1.79602	311.341	4	2	1	2	23	4	[(10, 'R')]	0	Anodyne	80	DDAARN	DD	aggregators
ZINC000000613049	68079277	O=C(NCCN1CCc2ccccc2C1)Nc1ccc(F)cc1	0	5.66	-11.4	1	3.0055	313.376	2	2	1	2	23	4	[]	0	Anodyne	44	DGAAMN	DG	aggregators
ZINC000000613049	68079272	O=C(NCC[N@H+]1CCc2ccccc2C1)Nc1ccc(F)cc1	1	8.24	-50.25	1	1.5884	314.384	1	3	1	2	23	4	[(5, 'S')]	0	Anodyne	45	DGAAMO	DG	aggregators
ZINC000000613049	68079267	O=C(NCC[N@@H+]1CCc2ccccc2C1)Nc1ccc(F)cc1	1	8.24	-50.21	0	1.5884	314.384	1	3	1	2	23	4	[(5, 'R')]	0	Anodyne	45	DGAARO	DG	aggregators
ZINC000005069679	63399763	COc1ccc(NC(=O)C[C@@H]2Oc3ccc(C)cc3NC2=O)cc1	0	5.13	-12.91	0	2.73192	326.352	4	2	1	2	24	4	[(10, 'S')]	0	Anodyne	76	EFAARN	EF	aggregators
ZINC000005069682	63399198	COc1ccc(NC(=O)C[C@H]2Oc3ccc(C)cc3NC2=O)cc1	0	5.11	-13.01	0	2.73192	326.352	4	2	1	2	24	4	[(10, 'R')]	0	Anodyne	76	EFAARN	EF	aggregators
ZINC000005069687	15711608	CC[C@@H](C)NC(=O)C[C@H]1Oc2ccc(C)cc2NC1=O	0	3.58	-11.72	0	1.99932	276.336	3	2	1	1	20	4	[(2, 'R'), (8, 'R')]	0	Anodyne	67	CDAERN	CD	aggregators
ZINC000005069690	15708477	CC[C@H](C)NC(=O)C[C@H]1Oc2ccc(C)cc2NC1=O	0	3.65	-11.61	0	1.99932	276.336	3	2	1	1	20	4	[(2, 'S'), (8, 'R')]	0	Anodyne	67	CDAERN	CD	aggregators
ZINC000005069691	15717801	CC[C@@H](C)NC(=O)C[C@@H]1Oc2ccc(C)cc2NC1=O	0	3.73	-11.96	0	1.99932	276.336	3	2	1	1	20	4	[(2, 'R'), (8, 'S')]	0	Anodyne	67	CDAERN	CD	aggregators
ZINC000005069694	15713476	CC[C@H](C)NC(=O)C[C@@H]1Oc2ccc(C)cc2NC1=O	0	3.7	-12.07	0	1.99932	276.336	3	2	1	1	20	4	[(2, 'S'), (8, 'S')]	0	Anodyne	67	CDAERN	CD	aggregators
ZINC000004908625	26225949	COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1	0	6.7	-20.76	0	3.13702	352.394	5	2	0	3	26	4	[]	0	Anodyne	77	FGAARN	FG	aggregators
ZINC000004148115	31534107	Cn1c(Cn2c3ccccc3sc2=O)nnc1SCC(=O)Nc1ccccc1	0	9.4	-17.38	0	2.9706	411.512	8	1	0	4	28	6	[]	0	Anodyne	81	HFAARN	HF	aggregators
ZINC000005058147	63216202	CCCNC(=O)C[S@@](=O)Cc1nc(-c2ccccc2C)oc1C	0	3.51	-29.38	0	2.73334	334.441	4	1	0	2	23	7	[(7, 'R')]	0	Anodyne	72	EFAARN	EF	aggregators
ZINC000005058148	63216672	CCCNC(=O)C[S@](=O)Cc1nc(-c2ccccc2C)oc1C	0	3.51	-20.26	0	2.73334	334.441	4	1	0	2	23	7	[(7, 'S')]	0	Anodyne	72	EFAARN	EF	aggregators
ZINC000006577030	83018778	Cc1cc(C)cc(NC(=O)CSc2nnc(Cn3c4ccccc4sc3=O)n2C)c1	0	11.22	-14.44	0	3.58744	439.566	8	1	0	4	30	6	[]	0	Anodyne	81	IHAARN	IH	aggregators
ZINC000006577580	83018876	Cn1c(Cn2c(=O)sc3ccccc32)nnc1SCC(=O)Nc1cccc(F)c1	0	9.92	-16.55	0	3.1097	429.502	8	1	0	4	29	6	[]	0	Anodyne	81	IGAARN	IG	aggregators
