zinc_id	supplier_code	substance.preferred_name	substance.smiles	substance.purchasable	substance.purchasability	substance.rb	substance.reactive	substance.features	calalog
ZINC000013131974	NCGC00085074-01	NA	COc1ccc([C@H]2C[C@H](c3ccccc3C)n3nc(N)nc3N2)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000012469374	NCGC00085079-01	NA	CCN(CCCNC(=O)[C@@H]1CCCN(S(=O)(=O)c2c[nH]cn2)C1)c1ccccc1	50	Premier	9	0	set(['aggregator'])	aggregators
ZINC000012469376	NCGC00085079-01	NA	CCN(CCCNC(=O)[C@H]1CCCN(S(=O)(=O)c2c[nH]cn2)C1)c1ccccc1	50	Premier	9	0	set(['aggregator'])	aggregators
ZINC000006530949	NCGC00085080-01	NA	Cc1noc(C)c1S(=O)(=O)N(CC(=O)N1CCn2c3ccccc3nc21)c1ccc(C(C)C)cc1	50	Premier	6	0	set(['aggregator'])	aggregators
ZINC000101257737	NCGC00085081-01	NA	COc1ccc(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)cc1	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000101257741	NCGC00085081-01	NA	COc1ccc(NC(=O)NCCN2C(=O)[C@H]3[C@H]4C=C[C@@H](C4)[C@@H]3C2=O)cc1	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000225251199	NCGC00085081-01	NA	COc1ccc(NC(=O)NCCN2C(=O)[C@@H]3[C@H]4C=C[C@@H](C4)[C@H]3C2=O)cc1	30	Agent	5	0	NA	aggregators
ZINC000100635788	NCGC00085083-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccccc1O	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000100635790	NCGC00085083-01	NA	O=C(NCCN1C(=O)[C@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccccc1O	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000104040378	NCGC00085083-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccccc1O	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000006577483	NCGC00085084-01	NA	Cc1noc(C)c1S(=O)(=O)N(CC(=O)N1CCc2ccccc21)c1ccc(C(C)C)cc1	50	Premier	6	0	set(['aggregator'])	aggregators
ZINC000100635813	NCGC00085085-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccc(Br)cc1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000100635816	NCGC00085085-01	NA	O=C(NCCN1C(=O)[C@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1ccc(Br)cc1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000104041539	NCGC00085085-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1ccc(Br)cc1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000100296017	NCGC00085087-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1cccnc1	50	Premier	4	0	NA	aggregators
ZINC000100296020	NCGC00085087-01	NA	O=C(NCCN1C(=O)[C@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C1=O)Nc1cccnc1	50	Premier	4	0	NA	aggregators
ZINC000103031421	NCGC00085087-01	NA	O=C(NCCN1C(=O)[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C1=O)Nc1cccnc1	50	Premier	4	0	set(['aggregator'])	aggregators
